Date,Reservoir level (m),Rainfall (mm),Gross Inflow (MCM),Spill (MCM)
07-Aug-18,775.6,79.2,1.21,1.21
08-Aug-18,775.6,278.4,11.32,11.32
09-Aug-18,775.6,442.6,19.67,19.67
10-Aug-18,775.6,160.9,9.75,9.75
11-Aug-18,775.6,46.5,6.08,6.08
12-Aug-18,775.6,75,6.59,6.59
13-Aug-18,775.6,151.7,8.1,8.1
14-Aug-18,775.6,205.4,14.5,14.5
15-Aug-18,775.6,304.9,18.48,18.48
16-Aug-18,775,343.9,17.99,18.59
17-Aug-18,774.6,182.3,14.19,14.59
18-Aug-18,775.6,161.6,4.24,3.24
19-Aug-18,774.5,77.4,0,2.21
20-Aug-18,774.65,88,2.36,2.21
21-Aug-18,774.8,60.3,1.61,1.46
22-Aug-18,774.85,80.4,0.79,0.74
23-Aug-18,775.6,79.2,0.79,0.74
24-Aug-18,775.6,60.3,1.21,1.21
25-Aug-18,775.6,50.3,1.21,1.21
